year,series_name,category,region,avg_index,avg_pct_change
2015,Candy_Gum,processed_food,National,100,4.894233166889231e-15
2015,Dairy,whole_food,National,100,1.591319668629391e-15
2015,Frozen_Foods,processed_food,National,100,-5.995204332975845e-15
2015,Fruits_Vegetables,whole_food,National,100,0
2015,Meats,whole_food,National,100,6.922703151464778e-15
2015,Other_Processed,processed_food,National,100,-3.3630505787603698e-15
2015,Sweets,processed_food,National,100,-2.1649348980190553e-15
2016,Candy_Gum,processed_food,National,99.81235240596551,-0.18764759403449022
2016,Dairy,whole_food,National,100.83786871612645,0.8378687161264555
2016,Frozen_Foods,processed_food,National,100.86348409771594,0.863484097715932
2016,Fruits_Vegetables,whole_food,National,95.14121143366386,-4.858788566336148
2016,Meats,whole_food,National,99.65168808888811,-0.34831191111189275
2016,Other_Processed,processed_food,National,100.09128391846471,0.09128391846470497
2016,Sweets,processed_food,National,99.63480584480308,-0.3651941551969156
2017,Candy_Gum,processed_food,National,99.27400504636151,-0.7259949536384843
2017,Dairy,whole_food,National,100.65248246261926,0.6524824626192612
2017,Frozen_Foods,processed_food,National,101.53552404246241,1.5355240424624081
2017,Fruits_Vegetables,whole_food,National,94.43297754650496,-5.567022453495045
2017,Meats,whole_food,National,99.12400542582081,-0.8759945741791821
2017,Other_Processed,processed_food,National,100.25681315220926,0.25681315220926226
2017,Sweets,processed_food,National,99.51426979484579,-0.4857302051542093
2018,Candy_Gum,processed_food,National,100.22153079845685,0.2215307984568525
2018,Dairy,whole_food,National,101.35894136961187,1.3589413696118624
2018,Frozen_Foods,processed_food,National,102.65512594676568,2.6551259467656805
2018,Fruits_Vegetables,whole_food,National,95.6113186818815,-4.3886813181185
2018,Meats,whole_food,National,99.52908716129289,-0.4709128387071031
2018,Other_Processed,processed_food,National,100.42584565016006,0.4258456501600544
2018,Sweets,processed_food,National,99.87603218150585,-0.12396781849415218
2019,Candy_Gum,processed_food,National,103.19557030134266,3.1955703013426593
2019,Dairy,whole_food,National,102.40698636151681,2.4069863615168168
2019,Frozen_Foods,processed_food,National,104.16581125093462,4.165811250934618
2019,Fruits_Vegetables,whole_food,National,95.94896618659345,-4.051033813406543
2019,Meats,whole_food,National,100.90719213164762,0.9071921316476192
2019,Other_Processed,processed_food,National,100.84130093716298,0.8413009371629808
2019,Sweets,processed_food,National,101.90999126634186,1.9099912663418661
2020,Candy_Gum,processed_food,National,106.5495488832589,6.5495488832588915
2020,Dairy,whole_food,National,103.78654826452826,3.7865482645282635
2020,Frozen_Foods,processed_food,National,105.9521727559594,5.952172755959392
2020,Fruits_Vegetables,whole_food,National,101.85539672621486,1.8553967262148632
2020,Meats,whole_food,National,103.12647568855839,3.1264756885583815
2020,Other_Processed,processed_food,National,103.81525376969142,3.815253769691425
2020,Sweets,processed_food,National,105.31033405760358,5.310334057603582
2021,Candy_Gum,processed_food,National,109.55322902351587,9.553229023515865
2021,Dairy,whole_food,National,107.14888649119644,7.148886491196426
2021,Frozen_Foods,processed_food,National,107.70419090344573,7.704190903445735
2021,Fruits_Vegetables,whole_food,National,108.62310369376382,8.623103693763825
2021,Meats,whole_food,National,105.47699575427393,5.4769957542739345
2021,Other_Processed,processed_food,National,106.47331567635094,6.473315676350932
2021,Sweets,processed_food,National,108.44249763342928,8.442497633429278
2022,Candy_Gum,processed_food,National,119.79621918477353,19.796219184773545
2022,Dairy,whole_food,National,116.28976756375914,16.28976756375915
2022,Frozen_Foods,processed_food,National,111.10625319460813,11.106253194608133
2022,Fruits_Vegetables,whole_food,National,120.49041475456855,20.490414754568544
2022,Meats,whole_food,National,119.21501958665365,19.215019586653654
2022,Other_Processed,processed_food,National,120.2942104976108,20.29421049761081
2022,Sweets,processed_food,National,119.73945550557855,19.739455505578547
2023,Candy_Gum,processed_food,National,131.06069336158654,31.060693361586537
2023,Dairy,whole_food,National,119.18259865237582,19.18259865237582
2023,Frozen_Foods,processed_food,National,114.56428713243525,14.564287132435247
2023,Fruits_Vegetables,whole_food,National,122.6394444501352,22.63944445013521
2023,Meats,whole_food,National,129.2643123355933,29.26431233559329
2023,Other_Processed,processed_food,National,128.85602897836455,28.856028978364552
2023,Sweets,processed_food,National,130.1054015651178,30.105401565117806
2024,Candy_Gum,processed_food,National,134.9903424267598,34.990342426759824
2024,Dairy,whole_food,National,120.07240161424457,20.07240161424457
2024,Frozen_Foods,processed_food,National,116.2746116835004,16.2746116835004
2024,Fruits_Vegetables,whole_food,National,125.32679592108498,25.326795921084976
2024,Meats,whole_food,National,129.94670569300692,29.94670569300692
2024,Other_Processed,processed_food,National,130.32604641108497,30.32604641108496
2024,Sweets,processed_food,National,134.02020116333097,34.02020116333097
