season,games,total_fga,total_fg3a,total_fg2a,share_3pt,share_2pt,fg_pct,fg3_pct,fg2_pct,ts_pct,avg_3pa_per_team,avg_pts_per_team
2006,1230,97157.5,19656.5,77501,0.20231582739366494,0.7976841726063351,0.45372719553302626,0.3583038689492026,0.47792931704107044,0.535590686901603,15.980894308943078,97.00853658536586
2007,1230,98036.5,20836,77200.5,0.2125330871665145,0.7874669128334855,0.458298694873848,0.35817815319639085,0.48532069092816754,0.5414635742645876,16.939837398373985,98.73943089430894
2008,1230,100250.5,22272,77978.5,0.22216348048139412,0.7778365195186059,0.4571997147146398,0.3619791666666667,0.4843963400167995,0.5402422462662976,18.107317073170734,99.9231707317073
2009,1230,99527,22291.5,77235.5,0.2239743989068293,0.7760256010931706,0.4587197443909693,0.36677657403046005,0.48525613221899255,0.544384860318266,18.12317073170732,99.95081300813005
2010,1230,100494.5,22311,78183.5,0.22201214991865226,0.7779878500813477,0.46136853260626204,0.354578459056071,0.49184290803046676,0.542945947808284,18.13902439024391,100.44715447154469
2011,1230,99895,22156.5,77738.5,0.22179788778217127,0.7782021122178288,0.4586015316081886,0.35849524970099067,0.48713314509541605,0.5414121223043917,18.01341463414634,99.55040650406504
2012,990,80612.5,18197.5,62415,0.2257404248720732,0.7742595751279268,0.4479330128702124,0.34875669734853687,0.47684851397901146,0.5271065178081322,18.381313131313135,96.25959595959594
2013,1230,100804.5,24533.5,76271,0.24337703177933526,0.7566229682206648,0.4527674855785208,0.35875435628834046,0.4830079584638985,0.5346171017189809,19.9459349593496,98.05813008130082
2014,1230,102086,26487,75599,0.259457712125071,0.7405422878749289,0.45441588464627863,0.35968588364103143,0.487605656159473,0.5408725530981602,21.53414634146341,101.00894308943091
2015,1230,102785,27568.5,75216.5,0.26821520649900277,0.7317847935009972,0.4489322371941431,0.3500371801149863,0.48517944865820667,0.5341686426647451,22.413414634146335,100.01422764227644
2016,1230,104024.5,29620.5,74404,0.2847454205499666,0.7152545794500335,0.45212906574893413,0.35369085599500344,0.491317671092952,0.5412210133946272,24.081707317073167,102.67154471544713
2017,1230,105057,33210.5,71846.5,0.3161188688045537,0.6838811311954462,0.45718514711061614,0.3575375257825085,0.5032465047009945,0.5523599265428258,27.00040650406504,105.59065040650407
2018,1230,105853.5,35669.5,70184,0.3369704355547998,0.6630295644452002,0.46023513629686313,0.3617516365522365,0.5102872449561153,0.5561508695837059,28.99959349593496,106.33333333333333
2019,1230,109729,39371,70358,0.35880213981718595,0.641197860182814,0.460507249678754,0.35502019252749484,0.5195358026095114,0.5596107245088535,32.0089430894309,111.20853658536583
2020,1059,94058,36126,57932,0.384082162070212,0.615917837929788,0.46008845605902743,0.3579416486740851,0.5237865083200994,0.564719677833992,34.11331444759206,111.79792256846085
2021,1080,95491.5,37411,58080.5,0.39177308975144387,0.6082269102485561,0.4661147850855835,0.3665633102563417,0.5302382038722119,0.5717793677003488,34.639814814814805,112.09120370370371
2022,1230,108361,43267.5,65093.5,0.3992903350836556,0.6007096649163445,0.46109762737516263,0.3535910325301901,0.5325570141411969,0.565996787495294,35.17682926829268,110.61585365853654
2023,1230,108609.5,42082.5,66527,0.3874661056353266,0.6125338943646734,0.4753727804657972,0.3607081328343136,0.5479053617328303,0.5812577898808122,34.21341463414634,114.68577235772354
2024,1230,109351,43177.5,66173.5,0.39485235617415476,0.6051476438258452,0.4743395122129656,0.36568814776214464,0.5452333638087754,0.5799896949439173,35.10365853658537,114.21138211382114
2025,1230,109763.5,46227,63536.5,0.42115092904289675,0.5788490709571033,0.46721360014941216,0.36022238085967073,0.5450567783872262,0.5761895378581687,37.58292682926829,113.82520325203252
